date,value
2018-08-09T05:17:37,43
2018-08-09T05:22:44,43
2018-08-09T05:27:49,43
2018-08-09T05:32:09,44
2018-08-09T05:37:10,44
2018-08-09T05:42:05,44
2018-08-09T05:47:11,44
2018-08-09T05:52:58,43
2018-08-09T05:57:13,44
2018-08-09T06:03:30,44
2018-08-09T06:07:19,47
2018-08-09T06:12:04,46
2018-08-09T06:17:26,45
2018-08-09T06:23:02,44
2018-08-09T06:27:39,45
2018-08-09T06:32:12,47
2018-08-09T06:38:11,47
2018-08-09T06:42:55,44
2018-08-09T06:47:10,44
2018-08-09T06:55:53,59
2018-08-09T06:55:58,55
2018-08-09T06:56:04,50
2018-08-09T06:56:09,50
2018-08-09T06:56:13,50
2018-08-09T06:56:18,50
2018-08-09T06:56:23,50
2018-08-09T06:56:25,50
2018-08-09T06:56:30,50
2018-08-09T06:56:35,50
2018-08-09T06:56:40,50
2018-08-09T06:56:48,50
2018-08-09T06:52:10,44
2018-08-09T06:58:05,46
2018-08-09T07:02:50,51
2018-08-09T07:08:21,44
2018-08-09T07:12:41,44
2018-08-09T07:17:18,44
2018-08-09T07:22:03,42
2018-08-09T07:28:19,44
2018-08-09T07:33:18,59
2018-08-09T07:38:24,74
2018-08-09T07:42:43,69
2018-08-09T07:47:12,69
2018-08-09T07:56:56,67
2018-08-09T07:58:59,64
2018-08-09T08:06:58,59
2018-08-09T08:09:54,62
2018-08-09T08:13:06,63
2018-08-09T08:20:04,59
2018-08-09T08:22:33,73
2018-08-09T08:31:06,78
2018-08-09T08:32:46,77
2018-08-09T08:40:30,69
2018-08-09T08:44:57,65
2018-08-09T08:48:12,78
2018-08-09T08:56:12,73
2018-08-09T08:58:35,66
2018-08-09T09:02:06,63
2018-08-09T09:08:50,59
2018-08-09T09:16:37,62
2018-08-09T09:18:24,61
2018-08-09T09:26:18,61
2018-08-09T09:27:38,61
2018-08-09T09:36:48,62
2018-08-09T09:41:09,58
2018-08-09T09:42:34,59
2018-08-09T09:48:15,56
2018-08-09T09:52:26,55
2018-08-09T09:57:04,57
2018-08-09T10:06:56,65
2018-08-09T10:09:22,59
2018-08-09T10:16:34,64
2018-08-09T10:21:31,68
2018-08-09T10:17:56,59
2018-08-09T10:22:23,60
2018-08-09T10:31:48,64
2018-08-09T10:40:05,68
2018-08-09T10:52:58,62
2018-08-09T10:58:10,60
2018-08-09T11:05:13,63
2018-08-09T11:09:15,66
2018-08-09T11:16:57,65
2018-08-09T11:18:30,65
2018-08-09T11:22:17,68
2018-08-09T11:30:20,65
2018-08-09T11:36:46,69
2018-08-09T11:39:28,70
2018-08-09T11:46:34,72
2018-08-09T11:48:34,73
2018-08-09T11:53:06,81
2018-08-09T11:58:34,69
2018-08-09T12:02:59,65
2018-08-09T12:10:38,69
2018-08-09T12:12:53,63
2018-08-09T12:21:27,68
2018-08-09T12:25:26,61
2018-08-09T12:27:21,65
2018-08-09T12:34:47,61
2018-08-09T12:38:44,61
2018-08-09T12:42:30,66
