date,dateString,total_victims,event,location,age_of_shooter,race,gender,city,state,injured,fatalities,weapon_type
2016-07-17T00:00:00Z,"July 17, 2016",6,Baton Rouge police shooting,"Baton Rouge, Lousiana",29,Black,M,Baton Rouge,Lousiana,3,3,Two semiautomatic rifles; one semiautomatic handgun
2016-07-07T00:00:00Z,"July 07, 2016",16,Dallas police shooting,"Dallas, Texas",25,Black,M,Dallas,Texas,11,5,"Semiautomatic rifle, semiautomatic handguns"
2016-06-12T00:00:00Z,"June 12, 2016",102,Orlando nightclub massacre,"Orlando, Florida",29,Other race,M,Orlando,Florida,53,49,"Semiautomatic rifle, semiautomatic handgun"
2016-02-25T00:00:00Z,"February 25, 2016",17,Excel Industries mass shooting,"Hesston, Kansas",38,Black,M,Hesston,Kansas,14,3,"Semiautomatic rifle, semiautomatic handgun"
2016-02-20T00:00:00Z,"February 20, 2016",8,Kalamazoo shooting spree,"Kalamazoo County, Michigan",45,White,M,Kalamazoo County,Michigan,2,6,Semiautomatic handgun
2015-12-02T00:00:00Z,"December 02, 2015",35,San Bernardino mass shooting,"San Bernardino, California",28,Other race,Male & Female,San Bernardino,California,21,14,"Two assault rifles and two semi-automatic pistols were used in the attack. Police found a remote controlled explosive device at the scene of the crime. At the home were 12 pipe bombs, 2,500 rounds for the AR-15 variants, 2,000 rounds for the pistols, and several hundred for a .22 calibre rifle. In the suspects' car were an additional 1,400 rounds for the rifles and 200 for the handguns."
2015-11-27T00:00:00Z,"November 27, 2015",12,Planned Parenthood clinic,"Colorado Springs, Colorado",57,White,M,Colorado Springs,Colorado,9,3,Long gun
2015-10-31T00:00:00Z,"October 31, 2015",3,Colorado Springs shooting rampage,"Colorado Springs, Colorado",33,White,M,Colorado Springs,Colorado,0,3,Two handguns and a rifle
2015-10-01T00:00:00Z,"October 01, 2015",18,Umpqua Community College shooting,"Roseburg, Oregon",26,Other race,Male,Roseburg,Oregon,9,9,"Five pistols, one rifle, five magazines of ammunition"
2015-07-16T00:00:00Z,"July 16, 2015",7,Chattanooga military recruitment center,"Chattanooga, Tennessee",24,Other race,Male,Chattanooga,Tennessee,2,5,2 assault rifles; semiautomatic handgun
2015-06-17T00:00:00Z,"June 17, 2015",10,Charleston Church Shooting,"Charleston, South Carolina",21,White,Male,Charleston,South Carolina,1,9,Handgun
2015-06-11T00:00:00Z,"June 11, 2015",4,Trestle Trail bridge shooting,"Menasha, Wisconsin",27,Latino,M,Menasha,Wisconsin,1,3,Two handguns
2014-10-24T00:00:00Z,"October 24, 2014",6,Marysville-Pilchuck High School shooting,"Marysville, Washington",15,Native American,Male,Marysville,Washington,1,5,Handgun
2014-05-23T00:00:00Z,"May 23, 2014",19,Isla Vista mass murder,"Santa Barbara, California",22,White,M,Santa Barbara,California,13,6,Three semi-automatic handguns and two hunting knives
2014-04-03T00:00:00Z,"April 03, 2014",15,Fort Hood shooting 2,"Fort Hood, Texas",34,Latino,M,Fort Hood,Texas,12,3,handgun
2014-02-20T00:00:00Z,"February 20, 2014",6,Alturas tribal shooting,"Alturas, California",44,Native American,Female,Alturas,California,2,4,Two handguns and a butcher knife
2013-09-16T00:00:00Z,"September 16, 2013",20,Washington Navy Yard shooting,"Washington, D.C.",34,Black,Male,Washington,D.C.,8,12,"Sawed-off shotgun, 2 boxes of shells; also a .45-caliber handgun taken from a security guard he shot at the scene."
2013-07-26T00:00:00Z,"July 26, 2013",7,Hialeah apartment shooting,"Hialeah, Florida",42,Latino,Male,Hialeah,Florida,0,7,9mm semi-automatic handgun
2013-06-07T00:00:00Z,"June 07, 2013",9,Santa Monica rampage,"Santa Monica, California",23,White,Male,Santa Monica,California,3,6,"Assault rifle, high capacity magazines, antique handgun"
2013-04-21T00:00:00Z,"April 21, 2013",5,Pinewood Village Apartment shooting,"Federal Way, Washington",27,Black,Male,Federal Way,Washington,0,5,"Semiautomatic handgun, shotgun"
2013-03-13T00:00:00Z,"March 13, 2013",7,Mohawk Valley shootings,"Herkimer County, New York",64,White,Male,Herkimer County,New York,2,5,Shotgun
2012-12-14T00:00:00Z,"December 14, 2012",29,Sandy Hook Elementary massacre,"Newtown, Connecticut",20,White,Male,Newtown,Connecticut,2,27,"Two semiautomatic handguns, one rifle (assault), one shotgun (assault)"
2012-09-27T00:00:00Z,"September 27, 2012",8,Accent Signage Systems shooting,"Minneapolis, Minnesota",36,White,Male,Minneapolis,Minnesota,1,7,One semiautomatic handgun
2012-08-05T00:00:00Z,"August 05, 2012",10,Sikh temple shooting,"Oak Creek, Wisconsin",40,White,Male,Oak Creek,Wisconsin,3,7,One semiautomatic handgun
2012-07-20T00:00:00Z,"July 20, 2012",82,Aurora theater shooting,"Aurora, Colorado",24,White,Male,Aurora,Colorado,70,12,"Two semiautomatic handguns, one rifle (assault), one shotgun"
2012-05-20T00:00:00Z,"May 20, 2012",7,Seattle cafe shooting,"Seattle, Washington",40,White,Male,Seattle,Washington,1,6,Two semiautomatic handguns
2012-04-02T00:00:00Z,"April 02, 2012",10,Oikos University killings,"Oakland, California",43,Asian,Male,Oakland,California,3,7,One semiautomatic handgun
